CaseId,b52,b73,d1,d2,sum
 1,   0,   0, 30.0000, 30.0000, 60.0000
 2,   0,  50, 46.2407, 58.0572,104.2979
 3,   0, 100, 88.9270,120.5241,209.4512
 4,   0, 150,128.1468,187.2584,315.4052
 5,   0, 200,164.0312,258.1678,422.1989
 6,   0, 250,196.7498,333.0551,529.8049
 7,   0, 300,226.4790,411.7488,638.2278
 8,   0, 350,253.3935,494.1036,747.4971
 9,   0, 400,277.7076,579.9702,857.6778
10,  50,   0, 48.4792, 60.7564,109.2356
11,  50,  50, 67.2451, 82.7665,150.0116
12,  50, 100, 76.9032, 87.1561,164.0593
13,  50, 150, 76.9032, 87.1561,164.0593
14,  50, 200, 76.9032, 87.1561,164.0593
15,  50, 250, 76.9032, 87.1561,164.0593
16,  50, 300, 76.9032, 87.1561,164.0593
17,  50, 350, 76.9032, 87.1561,164.0593
18,  50, 400, 76.9032, 87.1561,164.0593
19, 100,   0, 95.1174,124.5826,219.7000
20, 100,  50, 67.2332, 82.7790,150.0121
21, 100, 100,128.1750,172.2052,300.3802
22, 100, 150,150.2515,180.2467,330.4982
23, 100, 200,150.2515,180.2467,330.4982
24, 100, 250,150.2515,180.2467,330.4982
25, 100, 300,150.2515,180.2467,330.4982
26, 100, 350,150.2515,180.2467,330.4982
27, 100, 400,150.2515,180.2467,330.4982
28, 150,   0,137.8770,193.8233,331.7002
29, 150,  50, 67.2332, 82.7790,150.0121
30, 150, 100,128.1840,172.1979,300.3819
31, 150, 150,183.1158,267.9891,451.1049
32, 150, 200,220.0596,279.3103,499.3699
33, 150, 250,220.0596,279.3103,499.3699
34, 150, 300,220.0596,279.3103,499.3699
35, 150, 350,220.0596,279.3103,499.3699
36, 150, 400,220.0596,279.3103,499.3699
37, 200,   0,177.4848,267.6981,445.1829
38, 200,  50, 67.2332, 82.7790,150.0121
39, 200, 100,128.1840,172.1979,300.3819
40, 200, 150,183.1158,267.9891,451.1049
41, 200, 200,232.3995,369.8126,602.2121
42, 200, 250,286.2875,384.4369,670.7245
43, 200, 300,286.2875,384.4369,670.7245
44, 200, 350,286.2875,384.4369,670.7245
45, 200, 400,286.2875,384.4369,670.7245
46, 250,   0,214.0494,346.0855,560.1349
47, 250,  50, 67.2332, 82.7790,150.0121
48, 250, 100,128.1840,172.1979,300.3819
49, 250, 150,183.1158,267.9891,451.1049
50, 250, 200,232.3995,369.8126,602.2121
51, 250, 250,276.4508,477.2464,753.6972
52, 250, 300,349.0396,495.5130,844.5527
53, 250, 350,349.0396,495.5130,844.5527
54, 250, 400,349.0396,495.5130,844.5527
55, 300,   0,247.6936,428.9128,676.6064
56, 300,  50, 67.2332, 82.7790,150.0121
57, 300, 100,128.1840,172.1979,300.3819
58, 300, 150,183.1158,267.9891,451.1049
59, 300, 200,232.3995,369.8126,602.2121
60, 300, 250,276.4508,477.2464,753.6972
61, 300, 300,315.6596,589.9661,905.6257
62, 300, 350,408.6074,612.2099,1020.8172
63, 300, 400,408.5981,612.2198,1020.8179
64, 350,   0,278.5365,516.0453,794.5818
65, 350,  50, 67.2332, 82.7790,150.0121
66, 350, 100,128.1840,172.1979,300.3819
67, 350, 150,183.1158,267.9891,451.1049
68, 350, 200,232.3995,369.8126,602.2121
69, 350, 250,276.4508,477.2464,753.6972
70, 350, 300,315.6596,589.9661,905.6257
71, 350, 350,350.3080,707.8168,1058.1248
72, 350, 400,465.2472,734.1515,1199.3987
73, 400,   0,306.7759,607.2885,914.0645
74, 400,  50, 67.2332, 82.7790,150.0121
75, 400, 100,128.1840,172.1979,300.3819
76, 400, 150,183.1158,267.9891,451.1049
77, 400, 200,232.3995,369.8126,602.2121
78, 400, 250,276.4508,477.2464,753.6972
79, 400, 300,315.6596,589.9661,905.6257
80, 400, 350,350.3080,707.8168,1058.1248
81, 400, 400,380.4524,830.9674,1211.4197
