CaseId,b52,b73,lid,flow,cost
 1,   0,   0, 1, 50.3766, 20.0000
 1,   0,   0, 2,  0.0000,  5.0000
 1,   0,   0, 3, 49.6234,  5.0000
 1,   0,   0, 4, 87.9461,  3.1759
 1,   0,   0, 5,110.9343, 21.2219
 1,   0,   0, 6,  0.0000,  2.0000
 1,   0,   0, 7, 37.5695, 12.0000
 1,   0,   0, 8, 22.9882, 25.0000
 1,   0,   0, 9,  0.0000,  3.0000
 1,   0,   0,10, 39.4423,  4.0000
 1,   0,   0,11,  0.0000,  3.0000
 1,   0,   0,12, 89.0657, 40.0000
 2,   0,  50, 1, 66.6915, 20.0000
 2,   0,  50, 2,  0.0000,  5.0000
 2,   0,  50, 3, 89.6781,  5.0002
 2,   0,  50, 4,120.9741,  3.2419
 2,   0,  50, 5,204.1949, 21.4084
 2,   0,  50, 6,  0.0000,  2.0000
 2,   0,  50, 7, 54.2826, 12.0000
 2,   0,  50, 8, 33.2486, 25.0000
 2,   0,  50, 9,  0.0000,  3.0000
 2,   0,  50,10, 83.2010,  4.0001
 2,   0,  50,11, 49.9723,  3.0000
 2,   0,  50,12,122.9068, 40.0000
 3,   0, 100, 1, 81.5340, 20.0000
 3,   0, 100, 2,  0.0000,  5.0000
 3,   0, 100, 3,126.3886,  5.0006
 3,   0, 100, 4,153.8105,  3.3076
 3,   0, 100, 5,298.1613, 21.5963
 3,   0, 100, 6,  0.0000,  2.0000
 3,   0, 100, 7, 72.2765, 12.0000
 3,   0, 100, 8, 44.3653, 25.0000
 3,   0, 100, 9,  0.0000,  3.0000
 3,   0, 100,10,130.6912,  4.0007
 3,   0, 100,11, 99.9854,  3.0000
 3,   0, 100,12,157.0944, 40.0001
 4,   0, 150, 1, 94.8596, 20.0000
 4,   0, 150, 2,  0.0000,  5.0000
 4,   0, 150, 3,159.6072,  5.0016
 4,   0, 150, 4,186.4430,  3.3729
 4,   0, 150, 5,392.8313, 21.7857
 4,   0, 150, 6,  0.0000,  2.0000
 4,   0, 150, 7, 91.5834, 12.0000
 4,   0, 150, 8, 56.3657, 25.0000
 4,   0, 150, 9,  0.0000,  3.0000
 4,   0, 150,10,182.0383,  4.0026
 4,   0, 150,11,150.0226,  3.0000
 4,   0, 150,12,191.6229, 40.0002
 5,   0, 200, 1,106.8190, 20.0000
 5,   0, 200, 2,  0.0000,  5.0000
 5,   0, 200, 3,189.6680,  5.0031
 5,   0, 200, 4,218.7979,  3.4376
 5,   0, 200, 5,487.8615, 21.9757
 5,   0, 200, 6,  0.0000,  2.0000
 5,   0, 200, 7,111.9788, 12.0000
 5,   0, 200, 8, 69.1182, 25.0000
 5,   0, 200, 9,  0.0000,  3.0000
 5,   0, 200,10,236.6792,  4.0075
 5,   0, 200,11,199.9454,  3.0000
 5,   0, 200,12,226.4019, 40.0004
 6,   0, 250, 1,117.4071, 20.0000
 6,   0, 250, 2,  0.0000,  5.0000
 6,   0, 250, 3,216.5227,  5.0053
 6,   0, 250, 4,251.0582,  3.5021
 6,   0, 250, 5,583.8291, 22.1677
 6,   0, 250, 6,  0.0000,  2.0000
 6,   0, 250, 7,133.6511, 12.0000
 6,   0, 250, 8, 82.7463, 25.0000
 6,   0, 250, 9,  0.0000,  3.0000
 6,   0, 250,10,295.1248,  4.0182
 6,   0, 250,11,250.0245,  3.0000
 6,   0, 250,12,261.6229, 40.0007
 7,   0, 300, 1,126.9104, 20.0000
 7,   0, 300, 2,  0.0000,  5.0000
 7,   0, 300, 3,240.8533,  5.0081
 7,   0, 300, 4,283.0738,  3.5661
 7,   0, 300, 5,680.0183, 22.3600
 7,   0, 300, 6,  0.0000,  2.0000
 7,   0, 300, 7,156.1633, 12.0000
 7,   0, 300, 8, 96.9843, 25.0000
 7,   0, 300, 9,  0.0000,  3.0000
 7,   0, 300,10,356.1911,  4.0386
 7,   0, 300,11,299.9602,  3.0000
 7,   0, 300,12,297.0842, 40.0012
 8,   0, 350, 1,135.1807, 20.0000
 8,   0, 350, 2,  0.0000,  5.0000
 8,   0, 350, 3,262.2599,  5.0114
 8,   0, 350, 4,315.0172,  3.6300
 8,   0, 350, 5,777.0363, 22.5541
 8,   0, 350, 6,  0.0000,  2.0000
 8,   0, 350, 7,179.8365, 12.0000
 8,   0, 350, 8,112.0391, 25.0000
 8,   0, 350, 9,  0.0000,  3.0000
 8,   0, 350,10,420.6681,  4.0752
 8,   0, 350,11,349.9800,  3.0000
 8,   0, 350,12,332.9480, 40.0018
 9,   0, 400, 1,142.3995, 20.0000
 9,   0, 400, 2,  0.0000,  5.0000
 9,   0, 400, 3,281.1679,  5.0150
 9,   0, 400, 4,346.9012,  3.6938
 9,   0, 400, 5,874.6987, 22.7494
 9,   0, 400, 6,  0.0000,  2.0000
 9,   0, 400, 7,204.5016, 12.0000
 9,   0, 400, 8,127.8119, 25.0000
 9,   0, 400, 9,  0.0000,  3.0000
 9,   0, 400,10,487.9671,  4.1361
 9,   0, 400,11,399.9857,  3.0000
 9,   0, 400,12,369.1493, 40.0028
10,  50,   0, 1, 67.7149, 20.0000
10,  50,   0, 2, 23.9968,  5.0000
10,  50,   0, 3, 66.8566,  5.0000
